state,official_covid,predicted_covid,predicted_covid_lower,predicted_covid_upper,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper
VT,491,374,335,434,0.7617107942973523,0.6822810590631364,0.8839103869653768
NH,2157,1849,1703,2055,0.857209086694483,0.789522484932777,0.952712100139082
WA,9786,9001,8837,9195,0.9197833639893725,0.9030247292049867,0.9396076026977315
AK,1094,1054,1004,1123,0.9634369287020109,0.9177330895795247,1.0265082266910421
OR,5803,5595,5394,5843,0.9641564707909702,0.929519214199552,1.0068929863863518
IN,19000,18494,17934,19120,0.9733684210526315,0.9438947368421052,1.0063157894736843
ND,2063,2015,1906,2137,0.9767329132331556,0.9238972370334464,1.035870092098885
KY,13065,12855,12496,13261,0.983926521239954,0.9564485265977803,1.0150019135093762
HI,1115,1112,1074,1164,0.9973094170403587,0.9632286995515695,1.0439461883408072
DE,2396,2419,2196,2690,1.0095993322203674,0.9165275459098498,1.1227045075125208
VA,16088,16400,15957,16888,1.0193933366484336,0.9918572849328692,1.049726504226753
NC,23619,24328,23759,24964,1.0300182056818663,1.005927431305305,1.0569456793259664
MT,2999,3094,2947,3264,1.031677225741914,0.9826608869623208,1.0883627875958652
NV,8881,9244,9012,9548,1.0408737754757347,1.0147505911496453,1.075104154937507
SD,2511,2615,2469,2814,1.0414177618478693,0.983273596176822,1.1206690561529271
MN,11139,11663,11151,12241,1.0470419247688303,1.0010772959870724,1.0989316814794865
OH,35485,37472,36518,38484,1.0559954910525575,1.029110891926166,1.0845145836268846
WV,5706,6070,5810,6364,1.0637924991237293,1.0182264283210656,1.115317209954434
IA,8340,8915,8485,9384,1.0689448441247003,1.0173860911270982,1.1251798561151078
CO,10870,11703,11310,12145,1.0766329346826127,1.0404783808647655,1.1172953081876724
IL,29568,31923,31330,32565,1.0796469155844155,1.0595914502164503,1.101359577922078
PA,38458,41779,40733,42879,1.0863539445628998,1.0591554423006917,1.1149565760049924
KS,7598,8342,8026,8705,1.097920505396157,1.0563306133192945,1.14569623585154
WY,1653,1820,1693,1996,1.1010284331518452,1.0241984271022384,1.207501512401694
MO,16260,18163,17482,18925,1.1170356703567035,1.0751537515375154,1.16389913899139
FL,59027,66745,65875,67619,1.1307537228725837,1.1160147051349383,1.145560506209023
MS,10837,12272,11891,12684,1.1324167204946018,1.097259389129833,1.1704346221278952
ID,4201,4761,4518,5039,1.1333015948583671,1.0754582242323256,1.1994763151630563
DC,1460,1657,1563,1745,1.134931506849315,1.0705479452054794,1.1952054794520548
NE,4147,4708,4461,4998,1.1352785145888593,1.0757173860622136,1.2052085845189293
TN,20270,23069,22506,23697,1.1380858411445487,1.1103108041440553,1.1690675875678342
RI,3028,3449,3092,3828,1.1390356671070012,1.0211360634081903,1.2642007926023777
CA,81269,92882,91677,94115,1.1428958151324613,1.1280685132092187,1.1580676518721775
GA,27412,32245,31470,33090,1.176309645410769,1.1480373559025245,1.2071355610681453
AR,9232,10908,10564,11301,1.1815424610051992,1.1442807625649913,1.2241117850953207
UT,4022,4756,4469,5084,1.182496270512183,1.1111387369467927,1.2640477374440577
MI,27577,32901,32069,33811,1.1930594335859592,1.1628893643253435,1.2260579468397577
MA,15495,18684,18076,19327,1.2058083252662148,1.166569861245563,1.2473055824459502
AZ,22752,27625,26920,28355,1.2141789732770745,1.1831926863572433,1.246264064697609
NJ,27375,34015,33501,34602,1.2425570776255708,1.2237808219178081,1.264
LA,13869,17342,16757,17956,1.2504145936981759,1.2082341913620305,1.2946859903381642
ME,1918,2404,2130,2718,1.2533889468196038,1.110531803962461,1.4171011470281543
CT,9217,11938,11568,12383,1.2952153629163503,1.2550721492893566,1.3434957144407074
TX,80293,104317,102674,106033,1.2992041647466155,1.2787416088575592,1.3205758907999452
NM,6760,9012,8612,9452,1.3331360946745563,1.2739644970414201,1.3982248520710059
MD,12710,17012,16202,17838,1.338473642800944,1.274744295830055,1.4034618410700237
WI,12292,16798,16111,17558,1.3665798893589327,1.3106898795964854,1.4284087211194272
NY,62669,85674,84359,86999,1.3670873956820757,1.346104134420527,1.3882302254703283
SC,15459,22683,21927,23486,1.467300601591306,1.4183970502619834,1.5192444530694094
OK,13749,20814,20035,21628,1.5138555531311368,1.4571968870463305,1.573059858898829
AL,17066,28567,27501,29649,1.673913043478261,1.6114496660025783,1.7373139575764678
