date,official_covid,predicted_covid,predicted_covid_lower,predicted_covid_upper,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper
2020-03-01,7097,8642,8317,9004,1.2176976187121318,1.1719036212484149,1.2687050866563336
2020-04-01,65121,97231,96099,98377,1.493082108689977,1.475699083245036,1.5106801185485481
2020-05-01,38031,46076,44929,47218,1.2115379558780994,1.1813783492414083,1.2415660908206463
2020-06-01,17811,17069,16760,17410,0.9583403514681939,0.9409915220930886,0.9774858233675818
2020-07-01,30744,36666,36018,37351,1.1926229508196722,1.1715456674473068,1.214903721051262
2020-08-01,29603,34770,34090,35490,1.174543120629666,1.1515724757625916,1.1988649799006856
2020-09-01,18970,18624,18285,18992,0.9817606747496046,0.9638903531892462,1.0011597258829732
2020-10-01,24706,23942,23490,24446,0.9690763377317251,0.9507811867562536,0.9894762405893305
2020-11-01,52860,60434,58978,61928,1.1432841468028756,1.1157396897465002,1.1715474839197881
2020-12-01,97386,125843,123140,128666,1.292208325632021,1.2644527960897871,1.3211960651428336
2021-01-01,104743,140408,137991,142951,1.3405000811510077,1.3174245534307782,1.3647785532207404
2021-02-01,48129,53538,52758,54373,1.1123854640653243,1.096179018886742,1.1297346714039354
2021-03-01,23006,22236,21952,22534,0.9665304703120925,0.9541858645570721,0.9794836129705294
2021-04-01,18562,17663,17445,17889,0.9515677189957978,0.9398232949035664,0.9637431311281112
2021-05-01,14746,13882,13769,14001,0.9414078394140784,0.9337447443374475,0.9494778244947782
2021-06-01,7907,6894,6817,6978,0.8718856709244973,0.8621474642721639,0.8825091690906791
2021-07-01,11005,9977,9868,10095,0.9065879145842799,0.8966833257610177,0.9173103134938664
2021-08-01,48128,56464,55598,57336,1.1732047872340425,1.1552111037234043,1.1913231382978724
2021-09-01,62610,77318,76230,78434,1.2349145503913113,1.2175371346430284,1.252739179044881
2021-10-01,42100,45670,45075,46300,1.0847980997624702,1.0706650831353919,1.0997624703087887
2021-11-01,31909,33200,32735,33695,1.0404588047259393,1.0258861136356514,1.0559716694349557
2021-12-01,45077,49143,48425,49913,1.0902012112607316,1.0742729107970805,1.107283093373561
