y_pos,axis_lab,official_covid,predicted_covid,predicted_covid_lower,predicted_covid_upper,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper
37,age_bin 25to34,9349,9872,9701,10058,1.0559418119584982,1.0376510856776127,1.0758369879131457
36,age_bin 35to44,23848,26182,25894,26486,1.097869842334787,1.0857933579335792,1.1106172425360616
35,age_bin 45to54,57262,65169,64622,65741,1.1380845936222974,1.1285320107575705,1.1480737661974783
34,age_bin 55to64,124115,144693,143683,145752,1.1657978487692866,1.1576602344599767,1.174330258228256
33,age_bin 65to74,193014,234339,232791,235881,1.2141036401504555,1.2060834965339302,1.2220926979390097
32,age_bin 75to84,215850,262939,260970,265026,1.2181561269400045,1.2090340514246005,1.2278248783877692
31,age_bin 85andup,216813,252580,249349,255836,1.1649670453339975,1.1500648023873108,1.1799845950196712
29,sex_cat F,375805,428822,425419,432231,1.1410758238980323,1.132020595787709,1.1501470177352617
28,sex_cat M,464446,567014,563441,570648,1.2208394517338936,1.2131464152990876,1.2286638274417263
26,educ_cat < hs,101655,131507,130046,133020,1.2936599281884806,1.2792877871231125,1.3085436033643205
25,educ_cat hs_no_diploma,80845,95462,94444,96502,1.1808027707341209,1.1682107737027645,1.1936668934380605
24,educ_cat hs_ged,360248,423598,420541,426779,1.1758510803668585,1.1673652594879083,1.184681108569652
23,educ_cat some_college,99005,113574,112495,114696,1.1471541841321145,1.1362557446593606,1.1584869451037827
22,educ_cat associate,55577,65366,64621,66100,1.1761340122712634,1.162729186533998,1.1893409144070388
21,educ_cat bachelor,80530,93051,92078,94055,1.1554824289084813,1.143399975164535,1.167949832360611
20,educ_cat master,31624,36355,35774,36938,1.1496015684290413,1.131229445990387,1.1680369339741967
19,educ_cat doctorate,12365,14412,14065,14795,1.1655479175090984,1.137484836231298,1.196522442377679
18,educ_cat unknown,18402,22442,22026,22900,1.2195413542006304,1.1969351157482881,1.2444299532659493
16,marital_cat S,100809,112866,111887,113845,1.1196024164509122,1.1098909819559761,1.129313850945848
15,marital_cat M,345811,423900,421310,426653,1.2258141007660255,1.2183244604711823,1.233775096801432
14,marital_cat D,133723,151142,149910,152470,1.1302618098606823,1.1210487350717528,1.1401927865812165
13,marital_cat W,252578,298974,295755,302395,1.1836897908764816,1.1709452129639162,1.1972341217366516
12,marital_cat U,7330,8833,8615,9065,1.2050477489768077,1.175306957708049,1.2366984993178718
10,racerbig_recode hispanic,140638,183770,182270,185260,1.3066880928340847,1.2960224121503434,1.3172826689799344
9,racerbig_recode nhaian,9547,11865,11529,12197,1.2427987849586257,1.2076044830836912,1.277574107049335
8,racerbig_recode nhasian,23581,29353,28866,29909,1.2447733344641874,1.224121114456554,1.2683516390314236
7,racerbig_recode nhasian_indian,3489,4278,4163,4397,1.2261392949269132,1.1931785611923187,1.2602464889653195
6,racerbig_recode nhblack,122252,145869,144521,147237,1.1931829336125381,1.1821565291365377,1.204372934594117
5,racerbig_recode nhmultiracial,3078,3528,3408,3669,1.1461988304093567,1.1072124756335282,1.192007797270955
4,racerbig_recode nhpacific_islander,1838,2117,2021,2224,1.1517954298150164,1.0995647442872687,1.2100108813928183
3,racerbig_recode nhwhite,533525,612086,607308,616972,1.1472489574059321,1.1382934258001032,1.1564069162644675
2,racerbig_recode unknown,2303,2933,2818,3068,1.2735562310030395,1.2236213634389925,1.3321754233608336
1,total total,840251,995787,990313,1001363,1.185106593148952,1.1785918731426681,1.1917427054534895
