y_pos,axis_lab,official_covid,predicted_covid,predicted_covid_lower,predicted_covid_upper,reporting_ratio,reporting_ratio_lower,reporting_ratio_upper
39,rucc_2013_cat 1,432038,512162,509100,515264,1.1854559089709702,1.1783685694313926,1.1926358329591378
38,rucc_2013_cat 2,189850,217064,215210,218958,1.1433447458519883,1.1335791414274428,1.1533210429286278
37,rucc_2013_cat 3,95402,110472,109279,111690,1.1579631454267205,1.1454581664954613,1.1707301733716273
36,rucc_2013_cat 4,35770,46788,45570,48053,1.3080234833659492,1.273972602739726,1.3433883142298015
35,rucc_2013_cat 5,16240,19681,19224,20169,1.2118842364532019,1.1837438423645321,1.2419334975369458
34,rucc_2013_cat 6,33379,45550,44135,47059,1.3646304562749034,1.322238533209503,1.4098385212259206
33,rucc_2013_cat 7,21498,26722,25891,27673,1.2429993487766304,1.2043445901944367,1.2872360219555308
32,rucc_2013_cat 8,3774,4335,3959,4728,1.1486486486486487,1.0490196078431373,1.2527821939586645
31,rucc_2013_cat 9,5228,5731,5307,6190,1.096212700841622,1.0151109410864576,1.184009181331293
29,"home_ownership [0,0.659]",477245,550198,547471,552982,1.1528627853618163,1.1471487391172248,1.1586962671164707
28,"home_ownership (0.659,0.71]",155608,186506,184585,188366,1.1985630558840163,1.1862179322399877,1.2105161688345072
27,"home_ownership (0.71,0.745]",92468,113422,111852,115096,1.2266081238915083,1.2096292771553403,1.244711684042047
26,"home_ownership (0.745,0.781]",59037,74850,73260,76505,1.2678489760658571,1.2409167132476244,1.295882243338923
25,"home_ownership (0.781,0.931]",48821,63535,61933,65223,1.3013866983470228,1.2685729501648881,1.3359619835726428
23,"household_income [2.47e+04,4.44e+04]",50944,68050,66765,69439,1.3357804648241205,1.3105566896984924,1.3630456972361809
22,"household_income (4.44e+04,5.07e+04]",89705,111813,110176,113515,1.2464522601861658,1.2282035561005518,1.2654255615629006
21,"household_income (5.07e+04,5.64e+04]",145171,169923,168282,171607,1.1705023730634907,1.1591984625028415,1.182102486033712
20,"household_income (5.64e+04,6.44e+04]",175411,199510,197646,201458,1.1373859108037694,1.1267594392597955,1.1484912576748323
19,"household_income (6.44e+04,1.52e+05]",371947,439184,436041,442270,1.1807703785754422,1.1723202499280811,1.1890672595826826
17,"some_college [0.00833,0.48]",38465,52839,51350,54303,1.373690367866892,1.334979851813337,1.4117509424151826
16,"some_college (0.48,0.551]",82635,108511,106902,110249,1.3131360803533612,1.2936649119622436,1.334168330610516
15,"some_college (0.551,0.613]",147768,176275,174517,178149,1.1929172757295219,1.1810202479562557,1.205599317849602
14,"some_college (0.613,0.686]",286826,343880,341521,346223,1.198915021650757,1.1906905231743288,1.2070837371786378
13,"some_college (0.686,1]",277485,306972,304573,309378,1.1062652035245149,1.0976196911544769,1.1149359424833776
11,"poor_or_fair_health [0.0859,0.154]",161584,184816,182723,186867,1.1437766115456975,1.1308235963956828,1.1564696999702941
10,"poor_or_fair_health (0.154,0.182]",185429,209379,207348,211529,1.1291599480124468,1.118206968705003,1.1407546823851717
9,"poor_or_fair_health (0.182,0.21]",222139,265040,262984,267235,1.1931268259963357,1.1838713598242543,1.2030080265059264
8,"poor_or_fair_health (0.21,0.245]",198865,244321,242197,246502,1.2285771754707968,1.2178965629949967,1.239544414552586
7,"poor_or_fair_health (0.245,0.41]",65162,84923,83532,86363,1.3032595684601456,1.2819127712470457,1.3253583376814708
5,"diabetes [0.024,0.091]",253196,288114,285944,290307,1.1379089717057143,1.1293385361538097,1.1465702459754499
4,"diabetes (0.091,0.11]",237464,278608,276490,280723,1.1732641579355187,1.1643449112286495,1.1821707711484688
3,"diabetes (0.11,0.128]",177475,212230,210431,214051,1.1958303986476968,1.1856937596844626,1.2060909987322157
2,"diabetes (0.128,0.152]",106265,131566,129874,133288,1.238093445631205,1.2221709876252764,1.254298216722345
1,"diabetes (0.152,0.295]",58779,77949,76373,79607,1.3261368856224163,1.2993245887136562,1.3543442385886115
NA,rucc_2013_cat unknown,7072,7291,7152,7447,1.0309671945701357,1.01131221719457,1.0530260180995474
