model_type,preproc_type,tuning_type,metric,estimator,n_folds,best_fold,mean,min,max,sd,range,model_cat,preproc_cat,metric_cat,metric_cat_short,model_pre_label,model_pre_order,model_pre_cat,model_pre_cat_rev
xgboost,nocountynoucr,bayes_tune,roc_auc,binary,5,2,0.8967985869737886,0.8964151126732243,0.8974173298510654,5.032460222255107e-4,0.0010022171778411026,XGBoost,"No county, no contributing cause",AUC ROC,AUC ROC,"XGBoost, No county, no contributing cause",1,"XGBoost, No county, no contributing cause","XGBoost, No county, no contributing cause"
xgboost,nocounty,bayes_tune,roc_auc,binary,5,2,0.8969568691423323,0.8961587030698387,0.898121530348311,8.233826711247091e-4,0.001962827278472301,XGBoost,No county,AUC ROC,AUC ROC,"XGBoost, No county",2,"XGBoost, No county","XGBoost, No county"
xgboost,noucr,bayes_tune,roc_auc,binary,5,1,0.8963107719152986,0.8957428233460906,0.8966534143176569,3.608193733605638e-4,9.105909715663163e-4,XGBoost,No contributing causes,AUC ROC,AUC ROC,"XGBoost, No contributing causes",3,"XGBoost, No contributing causes","XGBoost, No contributing causes"
xgboost,naive,bayes_tune,roc_auc,binary,5,2,0.8958675521923913,0.8945250296195782,0.8968969697164122,9.383675864762146e-4,0.0023719400968339466,XGBoost,All covariates,AUC ROC,AUC ROC,"XGBoost, All covariates",4,"XGBoost, All covariates","XGBoost, All covariates"
lightgbm,nocountynoucr,bayes_tune,roc_auc,binary,5,2,0.8940006270551982,0.8931539157559584,0.8948856777350087,6.728822921580432e-4,0.0017317619790503391,LightGBM,"No county, no contributing cause",AUC ROC,AUC ROC,"LightGBM, No county, no contributing cause",5,"LightGBM, No county, no contributing cause","LightGBM, No county, no contributing cause"
lightgbm,nocounty,bayes_tune,roc_auc,binary,5,2,0.894121227151418,0.8934739699378839,0.8952584949986196,7.134115383214168e-4,0.0017845250607357865,LightGBM,No county,AUC ROC,AUC ROC,"LightGBM, No county",6,"LightGBM, No county","LightGBM, No county"
lightgbm,noucr,bayes_tune,roc_auc,binary,5,2,0.8922395722976254,0.8915422070557301,0.8931240874784867,6.550286278527613e-4,0.001581880422756643,LightGBM,No contributing causes,AUC ROC,AUC ROC,"LightGBM, No contributing causes",7,"LightGBM, No contributing causes","LightGBM, No contributing causes"
lightgbm,naive,bayes_tune,roc_auc,binary,5,2,0.8916229807298867,0.8905866007643782,0.8925446201334055,7.676373517116653e-4,0.0019580193690272862,LightGBM,All covariates,AUC ROC,AUC ROC,"LightGBM, All covariates",8,"LightGBM, All covariates","LightGBM, All covariates"
random_forest,nocountynoucr,bayes_tune,roc_auc,binary,5,1,0.8901530723470609,0.8894192402038552,0.8905923538866014,4.6878122454290145e-4,0.0011731136827461963,Random Forest,"No county, no contributing cause",AUC ROC,AUC ROC,"Random Forest, No county, no contributing cause",9,"Random Forest, No county, no contributing cause","Random Forest, No county, no contributing cause"
random_forest,nocounty,bayes_tune,roc_auc,binary,5,2,0.8904934403876715,0.889687146695339,0.891312934512944,5.776938919539163e-4,0.0016257878176050289,Random Forest,No county,AUC ROC,AUC ROC,"Random Forest, No county",10,"Random Forest, No county","Random Forest, No county"
random_forest,noucr,bayes_tune,roc_auc,binary,5,2,0.890706483966527,0.889969338184998,0.8915394979936369,5.592626059809598e-4,0.001570159808638838,Random Forest,No contributing causes,AUC ROC,AUC ROC,"Random Forest, No contributing causes",11,"Random Forest, No contributing causes","Random Forest, No contributing causes"
random_forest,naive,bayes_tune,roc_auc,binary,5,2,0.8907124880257119,0.8900104788265368,0.8916035011892228,5.833168731492735e-4,0.0015930223626859918,Random Forest,All covariates,AUC ROC,AUC ROC,"Random Forest, All covariates",12,"Random Forest, All covariates","Random Forest, All covariates"
logistic_elasticnet,nocountynoucr,bayes_tune,roc_auc,binary,5,2,0.8593911749746477,0.8582624197082618,0.860641163817688,9.200464770317861e-4,0.0023787441094261785,Logistic (ElasticNet),"No county, no contributing cause",AUC ROC,AUC ROC,"Logistic (ElasticNet), No county, no contributing cause",13,"Logistic (ElasticNet), No county, no contributing cause","Logistic (ElasticNet), No county, no contributing cause"
logistic_elasticnet,nocounty,bayes_tune,roc_auc,binary,5,2,0.8594096492437748,0.8582456648568271,0.8606655943829707,9.260729088516327e-4,0.0024199295261436715,Logistic (ElasticNet),No county,AUC ROC,AUC ROC,"Logistic (ElasticNet), No county",14,"Logistic (ElasticNet), No county","Logistic (ElasticNet), No county"
logistic_elasticnet,noucr,bayes_tune,roc_auc,binary,5,2,0.8629575101200686,0.8617396107166884,0.8643659120337339,9.863449140289488e-4,0.002626301317045554,Logistic (ElasticNet),No contributing causes,AUC ROC,AUC ROC,"Logistic (ElasticNet), No contributing causes",15,"Logistic (ElasticNet), No contributing causes","Logistic (ElasticNet), No contributing causes"
logistic_elasticnet,naive,bayes_tune,roc_auc,binary,5,2,0.862993588669311,0.8618441054852972,0.8643229614775968,9.383672350249967e-4,0.002478855992299578,Logistic (ElasticNet),All covariates,AUC ROC,AUC ROC,"Logistic (ElasticNet), All covariates",16,"Logistic (ElasticNet), All covariates","Logistic (ElasticNet), All covariates"
