model_type,preproc_type,tuning_type,metric,estimator,n_folds,best_fold,mean,min,max,sd,range,model_cat,preproc_cat,metric_cat,metric_cat_short,model_pre_label,model_pre_order,model_pre_cat,model_pre_cat_rev
xgboost,nocountynoucr,bayes_tune,brier_class,binary,5,3,0.12506300921645114,0.12466144154985254,0.125356407042597,3.487763412899146e-4,6.949654927444759e-4,XGBoost,"No county, no contributing cause",Brier score,Brier,"XGBoost, No county, no contributing cause",1,"XGBoost, No county, no contributing cause","XGBoost, No county, no contributing cause"
xgboost,nocounty,bayes_tune,brier_class,binary,5,5,0.12496408785343845,0.12429401665644597,0.12546671684350114,5.153765556399245e-4,0.0011727001870551618,XGBoost,No county,Brier score,Brier,"XGBoost, No county",2,"XGBoost, No county","XGBoost, No county"
xgboost,noucr,bayes_tune,brier_class,binary,5,5,0.1254315764669681,0.12509109657446937,0.12575604577485722,2.537617941292262e-4,6.649492003878432e-4,XGBoost,No contributing causes,Brier score,Brier,"XGBoost, No contributing causes",3,"XGBoost, No contributing causes","XGBoost, No contributing causes"
xgboost,naive,bayes_tune,brier_class,binary,5,3,0.12565224947608442,0.12500734675725222,0.12661109516453045,6.299360664106866e-4,0.001603748407278227,XGBoost,All covariates,Brier score,Brier,"XGBoost, All covariates",4,"XGBoost, All covariates","XGBoost, All covariates"
lightgbm,nocountynoucr,bayes_tune,brier_class,binary,5,5,0.12685439749622665,0.12634452007435054,0.12745865371771442,4.808228895426976e-4,0.0011141336433638793,LightGBM,"No county, no contributing cause",Brier score,Brier,"LightGBM, No county, no contributing cause",5,"LightGBM, No county, no contributing cause","LightGBM, No county, no contributing cause"
lightgbm,nocounty,bayes_tune,brier_class,binary,5,3,0.12681703652627324,0.1261628558341893,0.12724371359393893,4.5660736811238876e-4,0.0010808577597496427,LightGBM,No county,Brier score,Brier,"LightGBM, No county",6,"LightGBM, No county","LightGBM, No county"
lightgbm,noucr,bayes_tune,brier_class,binary,5,3,0.12799221545219794,0.12750002993388024,0.12842003070058505,4.2323493762152717e-4,9.200007667048149e-4,LightGBM,No contributing causes,Brier score,Brier,"LightGBM, No contributing causes",7,"LightGBM, No contributing causes","LightGBM, No contributing causes"
lightgbm,naive,bayes_tune,brier_class,binary,5,5,0.1283167938839566,0.12786253713708423,0.12896619311309312,4.763094291030655e-4,0.0011036559760088938,LightGBM,All covariates,Brier score,Brier,"LightGBM, All covariates",8,"LightGBM, All covariates","LightGBM, All covariates"
random_forest,nocountynoucr,bayes_tune,brier_class,binary,5,1,0.13033719356105183,0.12923386699110181,0.131246472509385,8.00340680028126e-4,0.0020126055182831948,Random Forest,"No county, no contributing cause",Brier score,Brier,"Random Forest, No county, no contributing cause",9,"Random Forest, No county, no contributing cause","Random Forest, No county, no contributing cause"
random_forest,nocounty,bayes_tune,brier_class,binary,5,5,0.12999122122194184,0.12948482985778517,0.13028574397086284,3.039927100771937e-4,8.00914113077672e-4,Random Forest,No county,Brier score,Brier,"Random Forest, No county",10,"Random Forest, No county","Random Forest, No county"
random_forest,noucr,bayes_tune,brier_class,binary,5,4,0.13046643267123564,0.1301972795249676,0.13091066788288785,2.7727667526223775e-4,7.133883579202582e-4,Random Forest,No contributing causes,Brier score,Brier,"Random Forest, No contributing causes",11,"Random Forest, No contributing causes","Random Forest, No contributing causes"
random_forest,naive,bayes_tune,brier_class,binary,5,5,0.13031628892365474,0.1294531861332486,0.13128363494600823,6.693991491249732e-4,0.001830448812759622,Random Forest,All covariates,Brier score,Brier,"Random Forest, All covariates",12,"Random Forest, All covariates","Random Forest, All covariates"
logistic_elasticnet,nocountynoucr,bayes_tune,brier_class,binary,5,5,0.1453617723036665,0.1447292921216622,0.14603936540806864,5.226193983483172e-4,0.001310073286406449,Logistic (ElasticNet),"No county, no contributing cause",Brier score,Brier,"Logistic (ElasticNet), No county, no contributing cause",13,"Logistic (ElasticNet), No county, no contributing cause","Logistic (ElasticNet), No county, no contributing cause"
logistic_elasticnet,nocounty,bayes_tune,brier_class,binary,5,5,0.145341176611036,0.14473148159805752,0.14602124688162066,5.3410416372499e-4,0.0012897652835631435,Logistic (ElasticNet),No county,Brier score,Brier,"Logistic (ElasticNet), No county",14,"Logistic (ElasticNet), No county","Logistic (ElasticNet), No county"
logistic_elasticnet,noucr,bayes_tune,brier_class,binary,5,5,0.1438494357966884,0.14319432719718084,0.1445592520457055,5.331215033145497e-4,0.0013649248485246568,Logistic (ElasticNet),No contributing causes,Brier score,Brier,"Logistic (ElasticNet), No contributing causes",15,"Logistic (ElasticNet), No contributing causes","Logistic (ElasticNet), No contributing causes"
